year,mag,lon,lat,depth
2014.0,6.0,-140.5501,60.2171,14.8
2014.0,6.3,126.5698,5.6813,44.94
2014.0,6.5,142.4248,37.0402,10.5
2014.0,6.3,168.359,-17.6169,114.0
2014.0,6.9,-92.4089,14.7418,60.0
2014.0,6.0,97.0151,1.9946,30.0
2014.0,6.6,152.8208,-6.2049,10.0
2014.0,6.3,-176.5257,-30.5328,20.03
2014.0,6.2,138.864,28.3536,512.4
2014.0,6.7,-175.5669,-15.0432,10.0
2014.0,6.4,-175.2625,-14.7656,10.0
2014.0,6.0,-28.1372,-55.3872,10.0
2014.0,6.9,-28.4505,-55.5062,16.46
2014.0,6.2,142.5906,24.4013,43.19
2014.0,6.3,176.7156,52.2524,4.0
2014.0,6.0,178.412,51.9654,106.76
2014.0,7.9,178.7604,51.7972,107.49
2014.0,6.2,-177.523,-29.9623,20.0
2014.0,6.3,-177.6388,-30.025,20.0
2014.0,6.9,-177.67,-30.1181,20.0
2014.0,6.4,166.8264,-13.5767,59.87
2014.0,6.5,91.0921,-10.1229,4.0
2014.0,6.2,-107.469,18.7876,5.0
2014.0,6.9,25.3821,40.2996,10.0
2014.0,6.0,88.0335,18.2043,47.45
2014.0,6.0,92.7574,4.2485,35.0
2014.0,6.3,122.0604,9.3832,15.46
2014.0,6.3,144.9363,6.4264,11.0
2014.0,6.1,144.9238,6.4507,10.0
2014.0,6.5,-82.3045,7.2096,10.0
2014.0,6.5,-114.7995,-49.9403,10.47
2014.0,6.0,-100.8122,17.2192,23.0
2014.0,6.4,-100.7461,17.2349,17.09
2014.0,6.0,154.9011,-6.9599,10.0
2014.0,6.3,-97.054,-36.1703,16.83
2014.0,6.1,99.6696,19.6557,6.0
2014.0,6.0,139.4186,34.9118,153.0
2014.0,6.3,178.2401,-25.8072,634.21
2014.0,6.6,179.0856,-24.6108,527.0
2014.0,6.6,170.3546,-21.4542,106.0
2014.0,6.1,-174.7068,-20.752,45.0
2014.0,6.5,-127.7316,49.6388,10.0
2014.0,6.2,155.3351,-7.1646,20.0
2014.0,7.5,155.0241,-6.7547,43.37
2014.0,6.6,155.0869,-6.6558,29.0
2014.0,7.2,-100.9723,17.397,24.0
2014.0,6.1,164.8139,-11.1387,10.0
2014.0,6.2,155.7431,-62.8705,20.56
2014.0,6.8,8.722,-53.4967,11.18
2014.0,6.6,162.052,-11.1284,10.0
2014.0,7.4,162.0511,-11.4633,39.0
2014.0,7.6,162.1481,-11.2701,22.56
2014.0,6.1,155.238,-7.1033,20.0
2014.0,6.6,-85.8779,11.642,135.0
2014.0,6.5,154.9502,-6.7878,20.0
2014.0,7.1,155.0485,-6.5858,60.53
2014.0,6.2,-70.6472,-20.659,13.77
2014.0,6.1,-86.3783,12.4029,13.0
2014.0,6.0,161.7027,-10.5365,57.0
2014.0,6.3,-70.654,-20.6426,13.71
2014.0,6.4,-70.5865,-20.7969,25.0
2014.0,7.7,-70.4931,-20.5709,22.4
2014.0,6.5,-70.5756,-20.3113,24.07
2014.0,6.0,-82.34,7.94,25.0
2014.0,6.9,-70.9455,-19.8927,28.42
2014.0,8.2,-70.7691,-19.6097,25.0
2014.0,6.0,166.5894,-12.0989,98.0
2014.0,6.3,179.2877,-26.1692,495.0
2014.0,6.3,-70.8538,-19.6899,21.0
2014.0,6.2,-70.874,-19.7625,20.0
2014.0,6.4,94.3342,7.7448,21.54
2014.0,6.4,-70.8837,-20.0168,21.0
2014.0,6.7,-70.7022,-19.9807,20.0
2014.0,6.3,-80.9709,-5.5745,29.0
2014.0,6.1,-76.3113,-14.0848,20.0
2014.0,6.3,131.8249,33.6842,79.0
2014.0,6.1,148.5531,-3.0856,7.0
2014.0,6.4,-19.9775,-60.8623,10.0
2014.0,6.8,-125.1338,40.8287,16.6
2014.0,6.3,169.8234,-14.7378,638.0
2014.0,6.0,-93.1535,14.1833,18.47
2014.0,6.5,127.3674,27.4312,119.0
2014.0,6.2,-87.6879,12.5559,60.0
2014.0,6.1,-171.821,53.6047,265.0
2014.0,6.5,-58.9272,14.6682,14.83
2014.0,6.9,82.5864,35.9053,10.0
2014.0,6.0,154.435,-5.9651,41.8
2014.0,6.5,167.3721,-15.0691,122.0
2014.0,6.0,20.3897,38.2637,5.0
2014.0,6.5,-177.8806,-32.9076,44.26
2014.0,6.1,-27.3391,-56.8269,129.97
2014.0,6.1,20.4528,38.2082,8.0
2014.0,6.1,109.2653,-7.9855,66.0
2014.0,6.1,-174.6812,-15.1443,6.12
2014.0,6.1,175.8144,-40.6595,28.0
2014.0,6.4,-66.8096,19.0428,20.0
2014.0,6.5,167.249,-13.8633,187.0
2013.0,6.2,146.7903,20.7727,9.0
2013.0,6.0,149.1667,44.4438,28.0
2013.0,6.0,96.8261,2.044,20.0
2013.0,6.4,128.3791,-7.0269,9.87
2013.0,6.0,-53.9107,-53.8708,14.83
2013.0,7.0,-55.0033,-53.9451,11.78
2013.0,6.0,151.0047,45.5613,34.0
2013.0,6.5,-176.5449,-17.1171,371.0
2013.0,6.0,145.2041,18.4753,511.0
2013.0,6.0,128.4339,2.6403,38.0
2013.0,7.7,-46.4011,-60.2738,10.0
2013.0,6.9,-47.0621,-60.2627,9.97
2013.0,6.1,-47.1233,-60.2814,11.07
2013.0,6.4,162.3024,54.6859,43.0
2013.0,6.2,-172.6411,-19.1711,10.05
2013.0,6.0,-112.5956,-23.6357,9.98
2013.0,6.6,-71.5215,-30.2921,27.0
2013.0,6.3,121.4366,23.5904,10.0
2013.0,6.2,-73.395,-35.314,41.5
2013.0,7.1,144.6611,37.1557,35.0
2013.0,6.7,-12.7964,-58.153,22.87
2013.0,6.0,-177.1425,-23.0067,160.0
2013.0,6.6,-110.3209,26.0913,9.45
2013.0,6.8,154.931,-6.4456,35.0
